endereco,valor,area,iptu,condominio,quarto,vaga,banheiro,bairro,tipo,area_servico,espaco_gourmet,piscina,elevador,salao_de_festa,academia,playground,quadra_de_esporte,portaria_24_horas,varanda_gourmet,sauna,spa,comercio,latitude,longitude
Loteamento Vert Paradiso,680000,153,NA,515,3,1,2,antares,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Rua Coronel Jaime Ferreira Lima,198000,67,NA,NA,2,1,1,antares,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Rua Maria Salete de Araújo Oliveira,760000,300,NA,NA,4,2,5,antares,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Rua Manoel Menezes Ferreira Pinto,460000,143,750,NA,3,3,1,antares,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63791520840948,-35.7422830319122
Rua Manoel Menezes Ferreira Pinto,460000,143,750,NA,3,3,1,antares,casas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63791520840948,-35.7422830319122
Avenida Menino Marcelo,950000,255,NA,550,3,2,4,antares,casas,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Rua Maria Salete de Araújo Oliveira,750000,255,NA,NA,5,4,3,antares,casas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Residencial Reserva Bella Vista,1500000,389,NA,700,5,4,6,antares,casas,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,1530000,279,NA,NA,4,NA,5,antares,casas,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,1500000,389,NA,700,5,4,6,antares,casas,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
